Name,P/E,DIV-YLD,CMP/BV,ROA,CURRENTRATIO,PROFITGROWTH,DEBT-EQ,ROE,QUICKRATIO,ASSET-TO,INVEN-TO,PAT,LEVERAGE,EARNINGSYEILDS,ROCE,INT-COVERAGE,EV,EBITDA,CMP-FCF,CMP-SALES,PEG,SALESGROWTH,PLEDGED,SALES,OPM,MAR-CAP,EPS,DEBT,PROM-HOLD,RETURN
Kansai Nerolac,33.4,0.91,3.99,9.43,2.25,23.39,0.05,12.79,1.14,1.14,2.71,666.73,1.23,4.23,16.56,32.17,22348.52,19.7,88.05,2.87,4.01,1.69,0,7777.7,13.19,22332.05,8.39,276.42,74.99,-13.67
Optimus Finance,15.66,0,2.31,9.17,4.44,32.49,0.38,14.97,4.02,1.25,13.71,5.75,2.29,12.28,16.54,5.41,103.63,7.34,-20.26,0.71,0.6,28.84,0,128.08,7.6,90.56,7.7,14.93,53.89,53.6
Nuvama Wealth,32.67,1.23,8.08,3.78,1.4,89.67,2.33,24.28,1.33,0.19,0,722.63,5.72,9.24,16.54,2.4,18629.83,10.5,-14.25,7.1,,43.76,0,3452.71,51,24497.4,205.08,6745.71,55.18,163.33
Savera Industrie,18.25,2.03,2.25,10.89,2.56,-1.53,0.05,13.06,2.54,0.81,68.6,9.66,1.14,8.35,16.53,35.72,156.41,10.18,17.78,2.46,2.05,13.48,0,72.73,16.69,178.72,8.62,3.58,62.8,72.85
Tara Chand Infra,30.91,0,5.45,6.26,1.23,62.93,0.91,18.62,1.19,0.71,11.95,16.88,2.58,5.07,16.52,4.13,638.42,10.48,60.2,3.1,1.26,21.26,0,178.72,32.24,553.39,11.36,85.23,69.62,159.15
BLS E-Services,48.18,0,4.27,9.68,4.46,53.42,0.02,11.61,4.43,0.87,24.27,38.25,0.8,3.46,16.52,64.33,1641.74,27.76,102.01,6.26,,24.04,0,301.49,14.92,1886.44,4.84,7.31,68.89,
Guj. Ambuja Exp,16.36,0.28,2.08,11.02,2.77,22.82,0.07,13.25,0.98,1.58,5.38,351.79,1.13,7.94,16.51,30.21,6072.9,10.24,47.12,1.21,1.44,1.15,0,4854.38,9.19,5894.78,7.67,197.02,63.84,-20.85
Goyal Aluminiums,60.31,0,6.62,10.22,4.72,-5.24,0.08,12.46,4.1,3.01,29.49,2.17,1.15,2.33,16.51,51.5,132.81,39.53,75.51,1.84,2.36,3.01,0,71.44,4.24,131.32,0.15,1.56,69.97,-1.93
Lancer Containe.,13.05,0,1.76,10.65,2.36,3.19,0.28,19.85,2.32,1.16,0.11,56.31,1.36,9.3,16.51,8.19,793.05,8.87,-8.66,1.12,,-16.65,0,641.6,11.83,715.93,2.48,112.54,41.89,-64.88
Pondy Oxides,43.94,0.26,6.32,8.68,2.03,41.6,0.36,13.34,1.21,3.37,10.1,56.74,1.35,3.39,16.5,6.11,2503.98,25.31,75.88,1.3,13.47,19.72,0,1820.5,5.25,2368.68,22.71,142.13,43.64,342.82
Winny Immigratio,155.45,0,,7.19,1.5,-72.73,0.9,18.48,1.5,1.99,,0.39,2.35,1.15,16.49,3.74,63.13,60.7,227.54,5.74,,-8.16,0,10.81,7.68,62.1,2.57,2.07,58.51,
Zodiac Vent.,136.91,1.75,3.48,0.35,1.14,-81.16,3.37,3.86,0.39,0,-0.26,0.39,9.62,10.93,16.48,1.09,102.78,8.99,2.26,77.83,5.11,-99.3,0,0.69,1589.86,53.7,0.1,51.71,64.62,5.53
Star Cement,34.66,0,2.96,8.79,0.98,-14.8,0.05,11.54,0.55,0.86,2.92,232.85,1.24,4.62,16.48,23.06,8130.29,14.46,-45.16,2.79,-182.63,3.58,0.6,2901.2,18.72,8080.69,5.76,146.94,66.47,31.11
Best Agrolife,35.78,0.54,1.74,6.09,1.26,-82.25,0.76,18.09,0.71,1.07,0.5,36.84,2.7,6.82,16.48,1.81,1841.33,11.59,-14.09,0.81,,-14.43,0,1715.75,8.93,1381.7,15.58,578.12,50.1,-44.52
Apollo Tyres,18.64,1.21,2.27,6.46,1.21,33.67,0.35,13.22,0.61,0.94,3.33,1697.86,1.95,8.33,16.45,6.22,35369.51,7.94,21.02,1.23,1.15,2.4,1.16,25467.99,16.9,31386.54,25.62,4905.1,37.36,32.56
Swaraj Suiting,25.07,0,4.52,6.3,1.3,227.08,1.71,21.86,0.6,1.09,2.98,18.48,2.86,5.89,16.44,2.84,630.44,13.82,-15.78,1.43,0.44,45.79,0,319.56,12.43,455.44,10.16,175.06,73.59,170.15
Gowra Leasing,12.01,0,1.06,12.34,1.47,-21.13,0.03,12.68,1.47,0.17,,1.53,0.96,10.83,16.43,101,19.03,9.42,432.48,7.62,0.38,4.68,0,2.46,70.33,18.75,5.1,0.5,61.05,139.73
Harshil Agrotech,89.13,0,8.68,5.9,41.51,643.75,0.01,13.51,30.56,0.95,,5.95,1.2,1.26,16.41,,532.48,80.68,-196.07,12.9,2.28,381.06,0,41.9,15.32,540.51,0.2,0.55,0,3628.57
JSW Infrast,55.61,0.19,7.77,9.95,7.1,29.36,0.59,18.96,6.95,0.33,1.5,1126.58,1.43,2.96,16.41,4.35,61667.03,26.23,48.92,15.66,1.57,19.72,0,3894.57,52.07,60998.77,5.37,4758.48,85.61,77.53
Manoj Vaibhav,13.45,0,1.83,6.53,1.83,4.98,0.69,16.82,0.32,1.73,1.86,83.45,2,11.3,16.41,3.57,1419.91,8.67,25.88,0.54,,5.31,0,2179.83,6.88,1166.49,17.08,429.01,74.27,-10.74
Zee Learn,7.79,0,1.67,4.37,0.75,206.92,1.97,45.64,0.7,0.34,2.45,38.4,5.77,14.2,16.4,2.21,620.46,5.35,5.9,0.86,-0.77,-3.75,29.16,330.97,30.5,283.64,4.84,359.62,15.02,56
Chemtech Indust.,70.55,0,9.45,9.95,3.14,30.1,0.13,17.33,2.77,0.79,4.74,4.97,1.18,1.9,16.39,7.27,330.26,44.93,169.95,9.36,0.9,66.36,0,36.7,19.13,343.61,3.7,4.65,47.65,294.26
Arihant Super.,28.96,0.33,5.75,6.21,2.48,3.63,1.85,29.63,1.26,0.45,-0.14,51.05,4.33,4.75,16.39,3.37,1962.53,20.77,-36.24,3.21,0.74,10.86,0,467.2,19.87,1500.18,12.4,477.4,74.71,107.44
Konstelec Engg.,27.49,0,2.58,5.03,1.77,25.11,0.48,11.33,1.77,1.22,,8.87,1.87,7.33,16.39,2.61,258.84,12.69,-25.17,1.1,2.07,40.36,0,215.32,8.73,237.91,6.12,45.05,66.77,
Resourceful,38.37,0,,4.18,5.67,44.83,4.59,35.29,2.64,1.87,3.48,0.42,6.16,5.82,16.39,1.79,23.6,15.73,-11.75,0.87,,53.09,0,18.83,5.1,16.33,4.32,7.48,61.41,
Mindteck (India),28.59,0.31,3.74,10.51,4.65,31.86,0.01,13.24,4.65,1.49,,28.85,1.17,5.14,16.37,44.56,685.56,16.9,46.02,2.02,0.47,14.73,0,400.27,8.45,808.31,8.67,2.21,64.49,90.53
Vinyoflex,10.77,0,1.34,10.74,9.3,5.18,0.03,12.97,6.6,1.33,4.99,3.86,1.13,15.44,16.36,44.25,34.05,5.87,18.13,0.89,0.68,-11.76,0,46.29,11.69,41.22,8.94,0.81,51.33,6.52
Nikhil Adhesives,38.11,0.16,4.92,4.49,1.37,6.44,0.47,12.29,0.85,1.91,5.43,14.72,2.59,4.53,16.35,3.71,594.76,17.54,201.36,0.95,1.83,-11.79,0,583.29,5.76,552.92,3.2,53.95,54.44,6.64
ITL Industries,15.14,0.22,2.05,7.89,2.08,24.45,0.22,13.12,1.01,1.39,2.83,9.67,1.59,9.32,16.35,8.1,160.1,9.79,36.93,0.89,2.72,9.89,0,164.34,7.27,146.55,30.18,15.7,44.98,50.3
Maiden Forgings,12.13,0,1.66,7.06,1.81,1.14,0.88,17.41,0.72,1.71,3.44,9.72,1.94,11.11,16.35,3.26,174.03,7.18,-25.97,0.48,,6.92,0,236.09,9.75,113.84,6.84,62.67,73.37,-18.88
Mish Designs,62.4,0,4.42,7.59,6.06,39.66,0.16,11.89,2.6,1.23,1.12,0.81,0.93,2.93,16.35,3.68,52.44,32.98,-18.02,3.92,1.17,18.82,0,13.13,11.81,51.41,2.89,1.85,68.39,
Subros,34.4,0.29,4.28,6.05,1.29,138.89,0.01,10.6,0.69,1.92,6.46,119.04,1.67,4.54,16.34,14.18,4028.99,13.41,101.55,1.3,8.29,14.2,0,3187.18,8.91,4146.48,18.25,4.86,36.79,73.73
Euro Panel,31.27,0,3.97,5.8,1.5,44.79,0.8,13.55,0.4,1.57,2.1,14.58,2.19,5.44,16.33,3.06,542.79,15.94,-478.26,1.15,1.05,19.93,0,395.23,8.08,455.95,5.96,91.58,62.81,21.71
Rudra Global,22.09,0,3.76,6.58,1.52,35.57,1.15,19.61,0.13,1.8,2.51,19.36,2.71,6.69,16.32,2.3,553.86,12.86,11.95,0.78,4.23,10.71,0,546.07,7.7,423.56,2.02,130.73,72.88,21.05
Khandelwal Extra,18.32,0,2.45,8.55,2.56,52.17,0.18,13.47,2.56,0.2,,0.35,1.47,10.6,16.29,12.75,4.65,8.45,38.91,7.91,0.74,113.51,0,0.79,41.77,6.25,4.12,0.48,38.54,40.65
Abhinav Capital,19.92,0,1.29,9.87,3.26,-40.16,0.49,13.47,3.26,0.16,,5.11,1.22,10.88,16.27,2.49,93.07,8.97,9.99,8.66,0.68,-3.2,0,11.48,90.42,99.47,7.38,38.34,71.64,21.99
Nava,13.9,0.43,1.94,11.11,4.34,8.56,0.06,17.85,3.45,0.37,1.98,964.36,1.5,11.71,16.27,7.79,13711.55,7.18,8.69,3.4,0.45,12.77,0,3998.21,43.54,13604.85,71.56,413.65,48.85,116.97
BCL Industries,17.45,0.45,2.41,8.04,1.81,44.44,0.76,17.08,0.7,1.78,4.91,94.3,1.9,8.2,16.26,4.64,2175.71,10.19,-12.76,0.73,1.06,24.8,4.29,2336.19,8.8,1704.38,3.46,477.07,59.47,11.25
Electrost.Cast.,11.31,0.86,1.97,8.56,1.53,201.43,0.46,15.93,0.74,0.85,1.82,890.95,1.72,11.2,16.25,6.62,12409.03,8.44,83.74,1.34,0.36,8.5,11.44,7804.88,17.57,10477.25,14.69,2332.14,46.22,99.08
Affle India,65.26,0,8.28,11.26,3.07,23.99,0.07,15,3.07,0.7,,317.68,1.06,1.94,16.25,19.91,20006.22,43.6,140.87,10.77,1.52,30.99,0,1955.73,19.76,21060.14,22.91,182.63,55.09,42.36
Navneet Educat.,16.77,1.9,2.4,11.27,2.73,21.5,0.2,15.69,1.15,1.03,1.4,185.15,1.32,7.45,16.24,12.97,3449.19,10.91,80.04,1.83,3.74,-2.06,0,1757.63,16.73,3216.39,34.12,257.51,63.31,-11.56
Spectrum Electr.,124.65,0.06,14.75,6.89,1.36,133.37,0.53,15.24,0.85,1.15,3.56,19.72,1.72,1.43,16.22,4.06,2495.95,55.35,-219.09,7.38,5.52,29.45,0,327.93,11.86,2419.02,12.64,88.74,72.53,61.58
Integrated Perso,37.04,0,5.26,7.16,1.75,18.54,0.82,15.3,1.75,3.28,,5.37,1.98,4.59,16.21,2.12,215.72,18.97,-87.62,0.77,,24.32,0,245.59,4.38,188.56,7.45,31.14,69.05,110.69
Heritage Foods,39.16,0.4,7.22,8.46,1.31,119.78,0.16,13.33,0.46,3.15,9.15,148.24,1.49,3.57,16.2,21.18,5601.6,17.9,71.01,1.41,7.42,12.49,0,3943.86,7.42,5542.52,18.8,143.3,41.3,187.8
Capacit'e Infra.,18.47,0,1.88,4.24,1.75,80.16,0.22,9.48,1.66,0.67,6.83,154.54,1.9,10.28,16.2,3.3,3031.69,7.47,-49.5,1.41,4.03,18.21,46.36,2070.93,17.69,2912.13,18.98,328.97,31.69,65.08
United Heat,33.67,,,4.92,1.07,57.08,1.81,19.29,0.61,0.89,2.38,3.33,3.32,5.67,16.17,2.01,148.78,14.49,,1.87,,-13.75,,60.03,16.64,112.12,,36.92,,
Weizmann,28.48,0.41,2.68,9.07,1.02,9.92,0.11,13.13,0.58,1.23,6.98,6.87,1.37,5.1,16.16,17.78,207.78,16.17,28.06,1.82,3.73,-16.12,0,110.61,11.07,201.17,4.33,7.73,68.34,10.84
Eveready Inds.,41.62,0.25,7.66,6.94,1.15,132.57,0.79,19.14,0.53,1.35,2.99,71.26,2.52,3.55,16.15,3.82,3206.26,21.88,34.13,2.24,19.53,-4.12,0.01,1300.07,11.25,2907.82,9.8,306.54,43.19,14.88
SagarSoft (India,12.93,1,1.87,7.98,2.9,53.73,0.13,12.49,2.9,1.49,,9.9,1.49,12.1,16.15,19.38,113.19,6.93,39.65,0.79,,1.39,0,158.46,8.94,125.92,15.75,8.6,51.35,48.13
Orient Cement,40.36,0.65,4.04,6.11,1.16,42.55,0.1,10.46,0.58,1.11,3.92,174.53,1.64,4.38,16.13,10.37,7003.74,15.12,25.89,2.26,1.33,0.24,0,3056.19,14.59,6911.17,8.52,169.62,37.9,77.25
RBZ Jewellers Lt,28.22,0,3.64,8.79,4.61,-3.53,0.33,14.39,0.56,1.33,1.4,27.02,1.18,5.42,16.13,6.07,830.31,18.13,-31.27,2.16,,13.72,0,358.51,12.62,775.3,7.46,69.48,75,
MRF,25.99,0.16,3.21,7.7,1.07,67.21,0.17,12.55,0.5,0.98,3.77,2063.49,1.53,5.56,16.12,8.82,55683.34,12.08,-94.17,2.05,2.18,9.15,0,25925.37,16.52,53207.22,4865.46,2821.5,27.77,15.99
V-Guard Industri,69.8,0.34,10.22,8.26,1.55,45.52,0.2,13.79,0.78,1.63,4.52,259.66,1.58,2.03,16.1,10.91,18873.25,42.85,106.61,3.84,10.36,15.24,0,4826.28,8.15,18553.18,5.98,355.7,54.42,39.82
Foods & Inns,28.86,0.26,1.92,3.97,1.33,-41.85,1.37,12.3,0.61,1.11,2.02,29.44,2.68,8.29,16.1,2.09,1411.68,11.45,-11.51,1,2.71,-8.26,18.46,979.15,11.72,981.51,5.09,468.84,25.47,-32.81
Welspun Living,21.72,0.06,3.31,7.46,1.42,104.19,0.58,15.62,0.75,1.07,2.61,689.56,1.99,6.77,16.1,6.88,17841.72,11.38,53.61,1.54,1.71,20.56,0,10031.68,13.93,15464.29,7.25,2632.24,66.24,20.47
DCM Shriram Inds,13.48,1.08,1.98,5.51,1.2,68.87,0.65,14.94,0.57,1,1.97,119.66,2.54,10.15,16.09,6.06,2019.94,7.97,45.7,0.72,1.36,-2.3,0,2114.38,10.8,1521.6,13.76,529.03,50.11,53.76
Escorts Kubota,38.97,0.49,4.42,9.75,2.02,28.11,0.01,12,1.37,0.83,5.04,1052.28,1.16,3.56,16.08,114.11,40280.59,25.36,166.01,4.7,2.3,0.6,0,8804.4,13.09,41406.5,95.23,53.09,68.04,17.15
Sealmatic India,50.11,0.2,5.61,9.46,4.04,-10.15,0.04,11.8,1.93,0.68,0.81,9.83,1.18,2.93,16.08,27,469.66,29.15,-58.59,6.8,,21.32,0,71.02,19.57,482.87,10.88,3.36,72.38,13.43
Heidelberg Cem.,33.09,3.54,3.49,6.29,1.26,55.52,0.09,11.43,1.07,0.89,6.45,155.33,1.81,5.17,16.07,7.15,4672.79,13.16,20.83,2.21,-6.11,2.61,0,2302.33,13.11,5090.51,6.85,137.04,69.39,20.43
Apollo Finvest,40.23,0,5.07,10.93,1.75,-29.62,0.11,14.29,1.75,0.27,,7.58,1.22,3.31,16.05,27.3,294.32,28.46,-36.6,12.89,0.97,-32.24,0,22.8,44.47,294,20.31,6.33,70.71,51.86
K E C Intl.,63.58,0.43,5.87,1.91,1.11,109.26,0.97,8.8,1.03,1.1,7.27,392.03,4.43,3.99,16.05,1.76,28516.32,21.39,720.51,1.23,-9.16,10.85,0,20182.47,6.15,24804.57,15.25,3985.03,50.1,48.84
Panasonic Energy,26.77,1.88,3.44,8.4,2.72,756.22,0.01,12.03,1.97,2.1,5.24,13.19,1.36,5.15,16,177.6,343.08,15.92,319.7,1.26,1.43,3.33,0,278.59,6.45,351.68,17.59,1.18,58.06,38.06
Innovators,23.79,0,2.52,5.87,1.57,83.14,0.3,11.18,0.96,0.82,1.42,15.42,1.81,7.42,16,3.43,377.33,11.7,60.57,1.67,2.29,18.73,0,215.11,13.31,358.39,8.09,43.16,63.71,-2.48
Max Healthcare,85.19,0.16,10.67,9.57,1.37,-9.99,0.15,13.37,1.3,0.49,15.33,1053.83,1.31,1.61,16,22.48,89071.99,51.98,179.3,15.69,0.11,18.53,0,5663.98,27.23,88872.31,10.84,1298.95,23.74,59.76
Donear Inds.,17.17,0.16,3.09,5.07,1.28,0.91,1.65,18.42,0.57,1.17,1.43,36.76,3.33,8.44,15.99,2.67,940.41,10.18,-423.76,0.76,0.86,-1.25,0,817.93,10.29,618.24,7.07,337.55,74.56,26.87
Kalpataru Proj.,42.49,0.64,3.95,2.49,1.24,18.83,0.78,10.37,1.14,0.95,6.61,479,4.04,5.23,15.99,2.23,22957.89,13.57,65.6,1,23.98,18,24.73,19972,8.13,19981.68,30.04,4008.2,35.24,78.19
Ami Organics,94.86,0.2,8.08,7.27,1.74,-27.77,0.32,9.37,1.19,0.77,3.17,63.74,1.38,1.82,15.99,11.45,6488.9,49.39,-81.66,8.54,4.82,15.79,0,740.43,16.75,6325.56,9.66,216.65,35.98,30.41
Trans India,27.73,0,3.33,3.69,1.04,-34.63,1.44,26.89,0.98,1.17,30.24,2.36,3.38,5.45,15.97,2.61,94.26,18.81,-8.37,0.96,0.8,61.13,0,71.06,2.08,68.21,0.73,28.2,55.31,-23.31
RKEC Projects,13.07,0,1.74,4.87,1.59,66.07,0.89,12.54,1.09,0.84,1.58,22.37,2.42,11.69,15.96,2.92,411.24,7.33,384.26,0.76,-3.45,26.06,59.92,387.28,13.55,294.49,9.32,150.27,67.3,72.48
Rajeshwari Cans,240.65,0,31.88,6.53,1.5,25.47,0.38,14.18,0.88,1.7,4.07,1.33,2.03,0.68,15.96,6.14,323.43,113.48,-553.35,9.26,4.56,5.91,0,34.58,8.21,320.06,2.54,3.77,61.57,391.03
Shalibhadra Fin.,44.06,0.16,5.31,8.12,6.8,40.61,0.6,13.87,6.8,0.22,,12.88,1.52,3.91,15.94,3.64,614.77,25.75,-2909.23,16.69,3.34,19.05,0,34.37,69.45,573.79,18.4,57.93,60,116.08
Arvind SmartSp.,98.98,0.32,7.24,2.57,1.17,38.02,0.22,7.87,0.18,0.19,-0.32,36.45,3.65,2.73,15.94,3.36,3754.78,35.92,200.55,10.63,23.88,32.89,0,348.81,27.04,3707.7,8.04,110.22,50.17,137.51
Ultracab India,20.84,0,3.91,6.32,2.86,23.18,1.38,17.3,0.79,1.3,1.49,7.12,2.52,7.13,15.93,3.42,199.2,13.21,-20.1,0.99,0.54,41.88,0,151.53,9.73,149.43,0.74,52.45,27.9,-10.94
AVT Natural Prod,24.24,0.99,2.63,9.5,3.4,-16.42,0.09,11.84,1.44,0.92,1.18,50.9,1.19,6.13,15.93,9.89,1240.58,13.71,19.41,2.36,1.14,-3.24,0,518.95,14.67,1225.85,3.34,42.59,75,-5.89
Kwality Pharma,25.53,0,3.62,7.66,1.6,3.26,0.44,13.61,1.08,0.81,1.98,31.83,1.68,5.84,15.93,4.94,915.79,12.79,135.55,2.58,0.84,28.82,0,319.81,21.85,823.61,25.68,98.12,54.83,137.97
Wonder Electric.,179.93,0.07,29.64,3.47,1.15,102.9,1.24,15.93,0.91,1.95,8.62,11.2,4.31,1.03,15.93,4.09,2115.31,76.25,-166.9,2.97,17.14,64.88,0,684.39,4.05,2035.17,8.36,84.51,71.79,446.07
Magenta Life,27.39,0,,5.79,1.95,196,0.48,12.28,0.47,0.68,0.77,0.74,1.87,6.77,15.93,2.82,23.35,13.12,24.72,2.32,,-3.53,0,8.74,17.16,20.27,1.52,3.26,59.59,
Hind Rectifiers,74.07,0.11,14.43,5.56,1.21,181.91,1.08,14.67,0.65,1.66,4.11,24.16,2.5,2.35,15.92,3.36,1834.09,34.51,127.5,3.06,8.18,44.65,0,555.5,9.37,1700.56,10.24,135.08,44.05,151.56
Kellton Tech,19.56,0,3.02,10.19,3.36,26.93,0.35,15.68,3.36,1.56,,68.53,1.42,6.42,15.92,5.08,1492.91,13.52,220.28,1.37,-5.61,4.84,16.69,995.79,10.9,1364.62,7.06,155.99,51.67,78.73
C P S Shapers,114.91,0,7.09,3.45,1.78,-69.92,0.77,10.77,0.75,1.66,1.33,0.74,1.79,2.86,15.9,1.73,92.53,28.04,-56.82,2.39,,-1.8,0,35.53,8.84,85.04,3.52,9.2,71.29,-5.83
Sai Silks,27.95,0.64,2.27,7.05,3.41,0.41,0.44,13.81,1.31,0.96,1.19,86.16,1.35,6.66,15.89,3.33,2638.08,12.36,-126.15,1.93,1.1,1.54,0,1336.22,13.94,2575.49,5.62,464.23,60.8,-35.02
Marathon Nextgen,17.77,0.18,2.88,7.68,2.02,6.12,0.76,18.86,0.9,0.32,0.07,161.17,2.21,7.48,15.88,3.11,3559.81,13.33,21.16,4.4,0.45,-20.7,0,657.07,34.2,2891.99,32.09,760.93,73.63,31.92
Sayaji (Indore),17.52,0,4.75,6.89,0.38,-31.06,0.8,14.76,0.26,0.92,5.73,14.1,2,7.01,15.86,3.95,286.32,10.66,-195.16,2.32,,-3.15,0,106.68,24.48,247.08,46.28,41.82,44.08,
KRBL,12.95,1.45,1.3,10.35,5.27,-33.29,0.11,12.48,0.43,0.94,0.93,487.77,1.19,9.95,15.85,24.82,6760.74,8.9,77.41,1.21,3.6,-6.86,0,5168.85,12.92,6246.38,21.31,544.57,60.17,-23.59
PNC Infratech,6.74,0.18,1.69,6.31,1.85,117.91,1.55,18.82,1.51,0.61,4.45,1303.97,2.72,15.94,15.84,3.49,15173.96,5.77,-10.9,0.98,0.3,9.14,0,8725.68,29.07,8527.33,50.83,8025.33,56.07,0.29
Bedmutha Indus.,25.85,0,5.86,3.83,1.47,125.19,1.95,18.55,1.22,1.52,10.56,27.27,4.42,6.58,15.83,1.78,919.53,10.66,12.5,0.81,1.42,22.09,95.06,862.71,3.95,696.47,8.45,234.58,57.05,68
Crompton Gr. Con,54.76,0.75,8.53,7.53,0.98,1.58,0.23,15.55,0.57,1.25,6.38,467.82,1.96,2.67,15.82,9.37,25936.68,31.19,42.27,3.37,29.48,10.03,0,7573.65,10.04,25514.26,7.37,683.19,0,42.29
Ruchira Papers,8.76,4.06,0.89,9.38,2.83,-45.7,0.11,12.38,1.58,1.25,5.03,42.22,1.27,15.11,15.8,16.92,406.74,5.26,23.93,0.56,2.17,-15.55,0,652.76,11.35,363.19,14.15,44.31,67.46,-7.91
J K Cements,37.88,0.36,6.05,5.7,1.27,126.7,1.03,15.94,0.92,0.82,4.11,857.91,2.62,4.61,15.8,3.77,37354.68,16.27,-1173.59,2.82,1.55,13.68,0,11600.94,18.43,32671.78,111.85,5549.43,45.68,32.44
Five-Star Bus.Fi,27.58,0,4.79,8.2,9.95,39.52,1.22,17.53,9.95,0.21,,903.78,1.96,5.87,15.8,3.27,29908.96,16.97,-21.27,10.67,0.7,42.41,0,2368.62,73.91,25264.78,30.93,6315.85,26.51,16.2
Metropolis Healt,79.92,0.19,9.97,8.4,1.07,-0.95,0.18,12.2,0.91,0.79,6.21,136.97,1.39,1.88,15.79,9.8,10999.56,35.83,52.77,8.74,52.93,8.6,1.18,1243.98,23.99,10873.72,26.74,197.06,49.43,43.91
NCL Industries,11.59,2.05,1.03,6.05,1.32,17.74,0.25,11.32,0.78,1.23,4.94,76.07,1.78,13.58,15.78,6.02,1061.44,5.34,13.93,0.48,0.78,10.75,18.44,1837.9,9.87,887.56,16.82,218,42.08,-4.63
HOV Services,31.07,0,3.98,7.33,1.63,-9.54,0.05,11.84,1.63,0.44,,2.94,1.61,5.09,15.78,29.57,77.94,16,3273.95,4.85,0.42,42.68,0,18.12,16.94,87.9,2.34,1.05,50.42,43.23
La Tim Metal & I,22.95,0,3.64,6.34,2.89,269.18,0.92,18.42,0.78,2.96,4.77,8.29,2.21,6.49,15.77,2.38,247.78,13.63,-33.39,0.59,0.35,24.84,0,339.12,4.38,199.75,0.63,49.19,61.97,15.84
Sansera Enginee.,48.52,0.2,5.95,7.12,1.02,21.56,0.66,14.74,0.59,1.07,3.39,190.61,1.95,3.39,15.76,4.41,10399.61,20.97,-6613.91,3.31,4.11,17.12,0,2895.3,17.03,9571.92,35.54,890.66,30.43,66.7
First Custodian,7.11,0.92,1.18,11.27,19.61,1433.33,0.01,12,19.61,0.2,,2.3,1.01,26.01,15.72,14.75,11.02,3.63,35.9,4.43,0.15,316.09,0,3.62,83.98,16.04,15.33,0.11,52.57,155.69
Lupin,43.02,0.38,6.8,8.22,1.48,133.01,0.2,14.14,0.9,0.86,1.51,2263.53,1.63,3.18,15.72,10.72,96370.63,22.1,107.64,4.55,1.99,17.42,0,20797.09,20.16,94651.4,49.69,2921.77,46.96,82.54
Hampton Sky,30.13,0,5.31,11.34,7.79,1557.06,0.42,10.62,3.74,0.94,1.47,24.77,1.82,7.15,15.72,11.94,812.47,14.09,-29.86,3.16,,193.28,0,241.31,22.4,762.57,0.9,58.72,74.89,-34.93
Containe Tech.,85.15,0,6.87,5.93,2.75,205.71,0.72,11.91,1.3,0.55,0.89,1.07,1.9,2.37,15.72,2.69,98.52,40.71,-30.64,9.29,1.03,112.08,0,10.01,22.88,92.98,1.71,6.89,67.9,32.86
Novartis India,28.33,2.4,3.45,8.72,4.45,27.27,0.01,10.94,4.16,0.35,4.02,90.67,1.28,6.56,15.71,110.11,2016.51,15.33,39.81,7.74,2.89,-3.35,0,336.76,21.34,2605.62,36.72,6.97,70.68,50.9
Sr.Rayala.Hypo,14.76,0.41,1.55,9.58,10.15,-40.7,0.01,11.4,9.56,0.94,6.1,84.61,1.15,12.88,15.7,31.17,945.45,7.4,12.57,1.65,0.42,-42.3,0,773.82,13.18,1274.43,44.63,4.91,61.84,28.12
Pennar Industrie,24.48,0,2.89,3.93,1.03,24.31,0.9,11.78,0.5,1.26,2.44,102.74,2.83,7.98,15.7,2.2,3323.95,10.43,27.8,0.86,3.41,5.83,2.8,3115.13,9.07,2680.81,7.63,785.48,39.66,76.16
Salasar Techno,56.12,0,4.3,5.13,1.46,19.53,0.53,12.44,0.88,1.17,2.59,53.82,2.29,3.6,15.69,2.49,3355.55,25.21,-92.16,2.41,5.74,16.22,4.14,1246.7,10.25,3009.74,0.33,370.6,55.97,87.88
Kritika Wires,27.97,0,3.63,7.46,1.61,57.79,0.56,12.75,1.1,3.19,9.29,11.55,1.61,5.28,15.68,4.67,349.1,15.59,66.88,0.56,3.17,53.01,0,552.72,2.65,306.76,0.43,49.52,72.55,67.77
AD Manum Finance,8.8,0,1.08,10.34,8.02,64.33,0.11,11.58,8.02,0.15,,8.66,1.05,15.38,15.67,9.47,79.35,6.18,-193.96,6.02,0.17,35.21,0,12.02,91.26,72.41,11.55,7.5,74.3,85.37
Go Fashion (I),76.07,0,10.73,7.89,3.95,0.59,0.78,14.56,2.34,0.73,1.17,85.14,1.72,2.29,15.66,3.69,6816.24,25.28,76.14,8.25,3.58,15.3,16.33,792.81,31.55,6539.2,15.76,469.1,52.78,-7.96
Balurghat Tech,25.49,0,3.7,8.37,2.09,20.65,0.68,17.5,2.09,2.7,,2.22,1.92,5.75,15.63,3.64,63.17,16.62,26.27,0.75,1.03,10.37,0,76.55,4.66,57.71,1.22,10.42,33.63,64.76
Capital Trade Lk,27.24,0,6.49,5.01,3.28,221.93,3.78,24.9,3.28,0.19,,11.01,4.42,6.74,15.62,2.03,442.22,14.76,-5.73,8.57,0.63,66.49,0,34.78,53.91,298.08,1.81,165.43,38.25,31.17
